class_descri,target
"a photo of a bear, a type of animal.",0
"a photo of a bee, a type of animal.",1
"a photo of a bird, a type of animal.",2
"a photo of a butterfly, a type of animal.",3
"a photo of a camel, a type of animal.",4
"a photo of a caribou, with large, branching antlers and a thick brown coat, a type of animal.",5
"a photo of a cat, a type of animal.",6
"a photo of a chicken, a type of animal.",7
"a photo of a cow, a type of animal.",8
"a photo of a deer, a type of animal.",9
"a photo of a dolphin, a type of animal.",10
"a photo of a donkey, a type of animal.",11
"a photo of a duck, a type of animal.",12
"a photo of a eagle, a type of animal.",13
"a photo of a elephant, a type of animal.",14
"a photo of a elk, with brownish-red fur and large antlers, a type of animal.",15
"a photo of a fish, a type of animal.",16
"a photo of a flamingo, a type of animal.",17
"a photo of a fox, a type of animal.",18
"a photo of a giraffe, a type of animal.",19
"a photo of a goose, a type of animal.",20
"a photo of a hippopotamus, a type of animal.",21
"a photo of a horse, a type of animal.",22
"a photo of a kangaroo, a type of animal.",23
"a photo of a koala, a type of animal.",24
"a clear photo of a leopard, a type of animal.",25
"a photo of a lion, a type of animal.",26
"a photo of a llama, with a long neck and long hair, a type of animal.",27
"a photo of a monkey, a type of animal.",28
"a photo of a orangutan, with long reddish hair, long arms, and hooked hands and feet, a type of animal.",29
"a photo of a otter, with an elongated body, dense fur, and webbed feet, a type of animal.",30
"a photo of a owl, with large forward-facing eyes surrounded by facial disks, a hooked beak, a type of animal.",31
"a photo of a panda, with characteristic black and white markings, a type of animal.",32
"a photo of a peacock, with very long tail feathers, eye-like markings, a type of animal.",33
"a photo of a penguin, a type of animal.",34
"a photo of a pig, a type of animal.",35
"a photo of a pigeon, with gray and white plumage, a type of animal.",36
"a photo of a polar bear, with white fur, a type of animal.",37
"a photo of a rabbit, with long ears, long hind legs, and a short tail, a type of animal.",38
"a photo of a raccoon, a foxlike face with a black mask and a ringed tail, a type of animal.",39
"a clear photo of a rhinoceros, a type of animal.",40
"a photo of a sea lion, a type of animal.",41
"a photo of a seal, a type of animal.",42
"a photo of a shark, a type of animal.",43
"a photo of a sheep, a type of animal.",44
"a photo of a sparrow, a type of animal.",45
"a photo of a squirrel, with a bushy tail, a type of animal.",46
"a photo of a swan, with a long neck and all-white plumagea type of waterbird.",47
"a photo of a tiger, a type of animal.",48
"a photo of a whale, a type of animal.",49
"a photo of a wolf, a type of animal.",50
"a photo of a zebra, with black-and-white stripes, a type of animal.",51
"a photo of a human face.",52
"a cropped photo of a human face.",53
